condition,condition_cui,label,label_cui,label_score,label_semantic_types,label_ncts,label_bucket,label_ncts_count
angina,C0002962,artery disease,['C0852949'],1.3211333,disease or syndrome,"['NCT01804543', 'NCT02776657', 'NCT01361659', 'NCT01754259', 'NCT00549796', 'NCT00200070', 'NCT02905630', 'NCT01294709', 'NCT01612559', 'NCT01486030', 'NCT01890525', 'NCT01304095', 'NCT02137980', 'NCT00157742', 'NCT01334203', 'NCT01318629', 'NCT02004483', 'NCT02910154', 'NCT02802046', 'NCT01956448', 'NCT01582165', 'NCT01618123', 'NCT02272062', 'NCT01254981', 'NCT02707783', 'NCT01117506', 'NCT03529253', 'NCT02507050', 'NCT04186676', 'NCT02710435', 'NCT02845804', 'NCT00000554', 'NCT00500617', 'NCT02265796', 'NCT02158455', 'NCT02358148', 'NCT00491218', 'NCT02694848', 'NCT03674255', 'NCT01310725', 'NCT00005148', 'NCT00738491', 'NCT02468960', 'NCT01557855', 'NCT00346437', 'NCT00159718', 'NCT03392415', 'NCT01404767', 'NCT01594411', 'NCT02128022', 'NCT02232607', 'NCT03516643', 'NCT01002430', 'NCT01393028', 'NCT00708279', 'NCT00388934', 'NCT00982852', 'NCT02127996', 'NCT00737958', 'NCT01727063', 'NCT01425164', 'NCT02158754', 'NCT01214499', 'NCT00809653', 'NCT01331707', 'NCT04145167', 'NCT02773615', 'NCT01521351', 'NCT03657758', 'NCT02065102', 'NCT02808936', 'NCT01425359', 'NCT00705458', 'NCT00159991', 'NCT02175706', 'NCT00005152', 'NCT03674021', 'NCT00863980', 'NCT02264717', 'NCT01147952', 'NCT00222261', 'NCT00005701', 'NCT01149590', 'NCT00202566', 'NCT00221182', 'NCT03481712', 'NCT01659580', 'NCT02508714', 'NCT00121654', 'NCT01604486', 'NCT01443104', 'NCT01384448', 'NCT00797953', 'NCT01549977', 'NCT00000472', 'NCT03134105', 'NCT04325867', 'NCT00438867', 'NCT01106612', 'NCT01674803', 'NCT03151018', 'NCT02341664', 'NCT01814566', 'NCT01665833', 'NCT03401502', 'NCT00824005', 'NCT01287910']",have_had,107.0
angina,C0002962,stable angina,['C0340288'],0.89336426,disease or syndrome,"['NCT00105664', 'NCT00121654', 'NCT00131183', 'NCT00184444', 'NCT00200070', 'NCT00202566', 'NCT00225342', 'NCT00225355', 'NCT00346437', 'NCT00416663', 'NCT00438867', 'NCT00479908', 'NCT00500617', 'NCT00657514', 'NCT00737958', 'NCT00738491', 'NCT00776568', 'NCT00797953', 'NCT00811772', 'NCT01213173', 'NCT01294709', 'NCT01334203', 'NCT01413841', 'NCT01425359', 'NCT01443104', 'NCT01549977', 'NCT01659580', 'NCT01715376', 'NCT01804543', 'NCT02166736', 'NCT02232607', 'NCT02265796', 'NCT02272062', 'NCT02440893', 'NCT02468960', 'NCT02623569', 'NCT02648230', 'NCT02694848', 'NCT02707783', 'NCT02802046', 'NCT03401502', 'NCT03646760']",have_had,42.0
angina,C0002962,chest pain,['C0008031'],0.6072801600000001,sign or symptom,"['NCT03674021', 'NCT01618123', 'NCT01090895', 'NCT02272062', 'NCT03044964', 'NCT02147834', 'NCT02223286', 'NCT01117506', 'NCT01149590', 'NCT00221182', 'NCT02905630', 'NCT00000554', 'NCT02440893', 'NCT00500617', 'NCT01251302', 'NCT01604486', 'NCT02530021', 'NCT00491218', 'NCT01384448', 'NCT01890525', 'NCT01549977', 'NCT02773615', 'NCT00081913', 'NCT00273832', 'NCT01106612', 'NCT01304095', 'NCT02347215', 'NCT01425359', 'NCT00705458', 'NCT01174173', 'NCT01665833', 'NCT02972814', 'NCT01185015', 'NCT01594411', 'NCT02802046', 'NCT01582165', 'NCT01393028']",have_had,37.0
angina,C0002962,myocardial infarction,['C0027051'],0.50440242,disease or syndrome|diagnostic procedure,"['NCT00863980', 'NCT01090895', 'NCT04175626', 'NCT02272062', 'NCT02776657', 'NCT01147952', 'NCT01752192', 'NCT00222261', 'NCT04186676', 'NCT00221182', 'NCT02032030', 'NCT01659580', 'NCT01425164', 'NCT00809653', 'NCT01413841', 'NCT00263393', 'NCT01604486', 'NCT02581540', 'NCT00682565', 'NCT00797953', 'NCT01549977', 'NCT00000472', 'NCT01823185', 'NCT03134105', 'NCT00811772', 'NCT01363193', 'NCT02468960', 'NCT00819325', 'NCT02065102', 'NCT00411359', 'NCT02341664', 'NCT01334203', 'NCT02623569', 'NCT02808936', 'NCT01425359', 'NCT00159991', 'NCT02166736', 'NCT01665833', 'NCT02972814', 'NCT02910154', 'NCT03401502', 'NCT00708279']",have_had,42.0
angina,C0002962,heart disease,['C0018799'],0.42958261999999997,disease or syndrome,"['NCT01506999', 'NCT01254981', 'NCT03529253', 'NCT01147952', 'NCT01752192', 'NCT01149590', 'NCT00737958', 'NCT00222261', 'NCT01727063', 'NCT00221182', 'NCT01721096', 'NCT00000554', 'NCT01425164', 'NCT01612559', 'NCT01214499', 'NCT00809653', 'NCT01604486', 'NCT02530021', 'NCT02694848', 'NCT03216733', 'NCT03674255', 'NCT00682565', 'NCT00005148', 'NCT04097912', 'NCT00738491', 'NCT00081913', 'NCT02389946', 'NCT02808936', 'NCT00657514', 'NCT01814566', 'NCT02910154', 'NCT02128022', 'NCT02802046', 'NCT01956448', 'NCT00824005', 'NCT00005152', 'NCT01002430', 'NCT01287910']",have_had,38.0
angina,C0002962,ischemia,['C0022116'],0.361907145,therapeutic or preventive procedure|pathologic function,"['NCT00000462', 'NCT00000472', 'NCT00000554', 'NCT00005701', 'NCT00081913', 'NCT00121654', 'NCT00131183', 'NCT00157742', 'NCT00159718', 'NCT00200070', 'NCT00221182', 'NCT00416663', 'NCT00438867', 'NCT00491218', 'NCT00776568', 'NCT00809653', 'NCT00863980', 'NCT00905671', 'NCT00944333', 'NCT01117506', 'NCT01147952', 'NCT01214499', 'NCT01287910', 'NCT01318629', 'NCT01361659', 'NCT01404767', 'NCT01425164', 'NCT01442038', 'NCT01443104', 'NCT01549977', 'NCT01582165', 'NCT01727063', 'NCT01754259', 'NCT01804543', 'NCT02004483', 'NCT02128022', 'NCT02265796', 'NCT02347215', 'NCT02389946', 'NCT02439541', 'NCT02530021', 'NCT02648230', 'NCT02710435', 'NCT02776657', 'NCT02802046', 'NCT02910154', 'NCT03392415', 'NCT03401502', 'NCT03516643', 'NCT03674021', 'NCT04145167', 'NCT04175626', 'NCT04494750']",have_had,53.0
angina,C0002962,anginal equivalent,['C0741034'],0.35203567999999996,sign or symptom,"['NCT00273832', 'NCT00346437', 'NCT00491218', 'NCT00500617', 'NCT01117506', 'NCT01174173', 'NCT01251302', 'NCT01304095', 'NCT01318629', 'NCT01594411', 'NCT01727063', 'NCT01804543', 'NCT02223286', 'NCT02440893']",have_had,14.0
angina,C0002962,diabetes,['C0011847'],0.27768256,disease or syndrome,"['NCT00225342', 'NCT00159991', 'NCT02440893', 'NCT01404767', 'NCT00081913', 'NCT00225355', 'NCT00819325', 'NCT04475380', 'NCT00263393', 'NCT01754259', 'NCT02341664', 'NCT01334203', 'NCT00005205', 'NCT01425359', 'NCT01890525', 'NCT00776568']",have_had,16.0
angina,C0002962,angina refractory,['C0741032'],0.26009096,disease or syndrome,"['NCT00090714', 'NCT00121654', 'NCT00157742', 'NCT00200070', 'NCT00411359', 'NCT00776568', 'NCT01214499', 'NCT02710435', 'NCT03516643']",have_had,9.0
angina,C0002962,bruce,['C0006309'],0.25365909999999997,disease or syndrome,"['NCT01659580', 'NCT00131183', 'NCT00738491', 'NCT00081913', 'NCT00438867', 'NCT01361659', 'NCT01334203', 'NCT00797953']",have_had,8.0
