condition,condition_cui,label,label_cui,label_score,label_semantic_types,label_ncts,label_bucket,label_ncts_count
cataracts,C0086543,intraocular lens implantation,['C0023311'],4.293929511,therapeutic or preventive procedure,"['NCT02513745', 'NCT03633695', 'NCT00710996', 'NCT01192321', 'NCT00804726', 'NCT03117426', 'NCT01712503', 'NCT03787576', 'NCT00845520', 'NCT01225952', 'NCT03505827', 'NCT01396629', 'NCT02649257', 'NCT00719732', 'NCT00576485', 'NCT02523950', 'NCT02649842', 'NCT03170154', 'NCT03876782', 'NCT00758745', 'NCT01742910', 'NCT03179397', 'NCT02698943', 'NCT00710931', 'NCT00825513', 'NCT00405730', 'NCT01045733', 'NCT01323777', 'NCT02028754', 'NCT00449267', 'NCT02513134', 'NCT02521766', 'NCT03796624', 'NCT04208633', 'NCT03260673', 'NCT02235272', 'NCT01426854', 'NCT03500198', 'NCT01241279', 'NCT02888210', 'NCT04072029', 'NCT01305616', 'NCT04126174', 'NCT02067429', 'NCT02974140', 'NCT00720005', 'NCT01351233', 'NCT03242486', 'NCT01554761', 'NCT03921762', 'NCT02841670', 'NCT02740010', 'NCT01602068', 'NCT00759668', 'NCT01253239', 'NCT02558218', 'NCT02487160', 'NCT01225926', 'NCT02264457', 'NCT04274634', 'NCT03280108', 'NCT00934622', 'NCT03974451', 'NCT04334473', 'NCT00198445', 'NCT03538964', 'NCT02985723', 'NCT02378636', 'NCT00925886', 'NCT02219997', 'NCT00969371', 'NCT02424162', 'NCT00001311', 'NCT03316885', 'NCT01853072', 'NCT00934804', 'NCT00999492', 'NCT00001613', 'NCT01372657', 'NCT00453011', 'NCT01598428', 'NCT01732484', 'NCT01261975', 'NCT00886249', 'NCT03955796', 'NCT02566083', 'NCT03579433', 'NCT04156737', 'NCT00959322', 'NCT01109173', 'NCT01424189', 'NCT04465864', 'NCT04196569', 'NCT04014699', 'NCT01105585', 'NCT03501654', 'NCT00347516', 'NCT00762216', 'NCT04210232', 'NCT02939001', 'NCT00333255', 'NCT04174924', 'NCT03396003', 'NCT01713660', 'NCT00818116', 'NCT01441895', 'NCT04465344', 'NCT03297086', 'NCT01615861', 'NCT01872000', 'NCT01190631', 'NCT00732030', 'NCT02208232', 'NCT00532051', 'NCT00459303', 'NCT01544777', 'NCT03297372', 'NCT00747565', 'NCT01659801', 'NCT01278420', 'NCT01510717', 'NCT02203747', 'NCT03224728', 'NCT04345380', 'NCT01122576', 'NCT01074606', 'NCT01786356', 'NCT00711347', 'NCT02609997', 'NCT04273282', 'NCT02155348', 'NCT00403832', 'NCT00347243', 'NCT00758576', 'NCT01734343', 'NCT01763151', 'NCT02633072', 'NCT03115216', 'NCT04122664', 'NCT04482439', 'NCT03579368', 'NCT00710905', 'NCT01832311', 'NCT02975895', 'NCT03856944', 'NCT00542581', 'NCT03274986', 'NCT02137161', 'NCT04122651', 'NCT01654159', 'NCT01979172', 'NCT04019691', 'NCT02155959', 'NCT01257217', 'NCT01867541', 'NCT01686308', 'NCT00563667', 'NCT02644720', 'NCT01763411', 'NCT01296542', 'NCT01290068', 'NCT03371576', 'NCT01292629', 'NCT03751215', 'NCT02581046', 'NCT04005651', 'NCT00563277', 'NCT04074954', 'NCT01978106', 'NCT02185807', 'NCT01210807', 'NCT02780063', 'NCT01268540', 'NCT01318499', 'NCT04124952', 'NCT03268746', 'NCT03705949', 'NCT00865540', 'NCT02314572', 'NCT03706066', 'NCT01971177', 'NCT00760487', 'NCT04220255', 'NCT02238002', 'NCT03090256', 'NCT02973880', 'NCT01078103', 'NCT03733730', 'NCT02393313', 'NCT02138123', 'NCT02502526', 'NCT03453827', 'NCT01248572', 'NCT02595177', 'NCT02363530', 'NCT04436198', 'NCT00786565', 'NCT01605877', 'NCT03997890', 'NCT03824028', 'NCT02826421', 'NCT01141985', 'NCT02786901', 'NCT02605408', 'NCT00612729', 'NCT01140477', 'NCT00733512', 'NCT01098812', 'NCT01382641', 'NCT01028872', 'NCT01605058', 'NCT00963560', 'NCT01361282', 'NCT02328157', 'NCT03111550', 'NCT03751462', 'NCT00904904', 'NCT01299155', 'NCT01684007', 'NCT02006888', 'NCT02838004', 'NCT00673803', 'NCT03027024', 'NCT00000119', 'NCT00721253', 'NCT00684138', 'NCT01249144', 'NCT00934960', 'NCT03578276', 'NCT00878839', 'NCT03726606', 'NCT03839420', 'NCT04166578', 'NCT01230060', 'NCT03145103', 'NCT03247751', 'NCT01244373', 'NCT03314766', 'NCT03953053', 'NCT02633228', 'NCT00763360', 'NCT03454334', 'NCT00428363', 'NCT01601665', 'NCT03050697', 'NCT01296191', 'NCT02466256', 'NCT01938989', 'NCT02515045', 'NCT00425464', 'NCT00332774', 'NCT00716339', 'NCT02338882', 'NCT03603600', 'NCT04479748', 'NCT03819582', 'NCT01166971', 'NCT03010254', 'NCT04516889', 'NCT02529488', 'NCT03693989', 'NCT03350503', 'NCT02024711', 'NCT01936701', 'NCT02329743', 'NCT02593669', 'NCT01200511', 'NCT03180255', 'NCT01995630', 'NCT02691741', 'NCT04522427', 'NCT03976791', 'NCT04265820', 'NCT00774228', 'NCT01505816', 'NCT03409185', 'NCT03054649', 'NCT00842959', 'NCT04128514', 'NCT00348270', 'NCT01605942', 'NCT00333268', 'NCT00731640', 'NCT01872611', 'NCT01714635', 'NCT01767012', 'NCT02155478', 'NCT04187157', 'NCT00838045', 'NCT02508337', 'NCT00434707', 'NCT01061918', 'NCT02176343', 'NCT01215045', 'NCT02208297', 'NCT00747227', 'NCT00273221', 'NCT02203721', 'NCT03660865', 'NCT00929747', 'NCT00963742', 'NCT02351271', 'NCT00630019', 'NCT00760058', 'NCT02096627', 'NCT00870103', 'NCT01214863', 'NCT01731743', 'NCT04126187', 'NCT02678962']",have_had,310.0
cataracts,C0086543,astigmatism,['C0004106'],3.2217036599999997,disease or syndrome,"['NCT02513745', 'NCT01192321', 'NCT03117426', 'NCT01712503', 'NCT00845520', 'NCT01225952', 'NCT02649842', 'NCT03179397', 'NCT01323777', 'NCT01045733', 'NCT04208633', 'NCT02521766', 'NCT01241279', 'NCT02155270', 'NCT02863159', 'NCT04126174', 'NCT02067429', 'NCT01351233', 'NCT00289068', 'NCT01554761', 'NCT02847572', 'NCT02841670', 'NCT03242486', 'NCT03921762', 'NCT02740010', 'NCT00759668', 'NCT02487160', 'NCT02264457', 'NCT03152500', 'NCT03280108', 'NCT00934622', 'NCT02770924', 'NCT03538964', 'NCT00876707', 'NCT02985723', 'NCT02378636', 'NCT00925886', 'NCT04249492', 'NCT00969371', 'NCT00999492', 'NCT04058314', 'NCT03748381', 'NCT03579433', 'NCT04156737', 'NCT01424189', 'NCT01105585', 'NCT03501654', 'NCT00762216', 'NCT04210232', 'NCT03356847', 'NCT00818116', 'NCT01441895', 'NCT01778998', 'NCT04465344', 'NCT01872000', 'NCT01190631', 'NCT00732030', 'NCT02409771', 'NCT00747565', 'NCT01278420', 'NCT01510717', 'NCT01659801', 'NCT02203747', 'NCT04345380', 'NCT01074606', 'NCT02793869', 'NCT02155348', 'NCT00347243', 'NCT00758576', 'NCT01763151', 'NCT04122664', 'NCT01769313', 'NCT04482439', 'NCT01385878', 'NCT03856944', 'NCT00542581', 'NCT03274986', 'NCT04122651', 'NCT02155959', 'NCT01257217', 'NCT01279031', 'NCT00563667', 'NCT02644720', 'NCT01763411', 'NCT03371576', 'NCT01290068', 'NCT01250964', 'NCT04327518', 'NCT00563277', 'NCT01978106', 'NCT04124952', 'NCT01268540', 'NCT03268746', 'NCT03706066', 'NCT00760487', 'NCT02842151', 'NCT02393313', 'NCT01248572', 'NCT03844828', 'NCT01496066', 'NCT03791619', 'NCT01605877', 'NCT04436198', 'NCT02826421', 'NCT01140477', 'NCT02328157', 'NCT01382641', 'NCT03111550', 'NCT01299155', 'NCT01684007', 'NCT00684138', 'NCT01249144', 'NCT04265820', 'NCT00742950', 'NCT03839420', 'NCT01601665', 'NCT03050697', 'NCT03169855', 'NCT02981186', 'NCT00425464', 'NCT00716339', 'NCT03010254', 'NCT01200511', 'NCT04082273', 'NCT02691741', 'NCT02426385', 'NCT03976791', 'NCT01505816', 'NCT03054649', 'NCT04128514', 'NCT04059796', 'NCT01714635', 'NCT04392349', 'NCT01061918', 'NCT02176343', 'NCT00761488', 'NCT00747227', 'NCT02203721', 'NCT00929747', 'NCT01214863', 'NCT03819842', 'NCT03500198', 'NCT04126187', 'NCT02678962']",have_had,144.0
cataracts,C0086543,phacoemulsification,['C0282545'],2.809063737,therapeutic or preventive procedure,"['NCT00370955', 'NCT03633695', 'NCT02492659', 'NCT01192321', 'NCT01712503', 'NCT00992355', 'NCT01225952', 'NCT02535819', 'NCT02649257', 'NCT00176098', 'NCT02523950', 'NCT00825747', 'NCT01742910', 'NCT02698943', 'NCT03050008', 'NCT03179397', 'NCT00710931', 'NCT01936727', 'NCT01323777', 'NCT02110212', 'NCT00349583', 'NCT02101359', 'NCT03260673', 'NCT03273907', 'NCT02235272', 'NCT01010490', 'NCT02863159', 'NCT04072029', 'NCT01305616', 'NCT03689270', 'NCT00289068', 'NCT01554761', 'NCT03152747', 'NCT04295122', 'NCT02089698', 'NCT02558218', 'NCT04334473', 'NCT02487160', 'NCT01298635', 'NCT02445274', 'NCT03931629', 'NCT02825693', 'NCT02378636', 'NCT00960700', 'NCT03832179', 'NCT01853072', 'NCT02681679', 'NCT03708367', 'NCT01621789', 'NCT00827073', 'NCT01732484', 'NCT02642211', 'NCT04058314', 'NCT00537992', 'NCT02084576', 'NCT01657266', 'NCT00959322', 'NCT01109173', 'NCT01424189', 'NCT02071147', 'NCT03907358', 'NCT04014699', 'NCT01256918', 'NCT01105585', 'NCT01387464', 'NCT00347516', 'NCT04210232', 'NCT02895074', 'NCT04461912', 'NCT01713660', 'NCT01778998', 'NCT03363295', 'NCT04430647', 'NCT01615861', 'NCT01190631', 'NCT04120389', 'NCT02208232', 'NCT02898909', 'NCT00459303', 'NCT04345380', 'NCT01278420', 'NCT01510717', 'NCT03224728', 'NCT00695747', 'NCT01786356', 'NCT03511638', 'NCT04273282', 'NCT01383057', 'NCT00347243', 'NCT00758576', 'NCT01069172', 'NCT01734343', 'NCT01774474', 'NCT01848288', 'NCT02633072', 'NCT04396301', 'NCT02394379', 'NCT01385878', 'NCT00710905', 'NCT01832311', 'NCT00542581', 'NCT02137161', 'NCT04100031', 'NCT01553760', 'NCT01257217', 'NCT01279031', 'NCT02396719', 'NCT01146964', 'NCT01296542', 'NCT01290068', 'NCT03371576', 'NCT01292629', 'NCT03751254', 'NCT00563277', 'NCT00801359', 'NCT01305005', 'NCT01978106', 'NCT02185807', 'NCT01268540', 'NCT01318499', 'NCT03705949', 'NCT02314572', 'NCT03638726', 'NCT01971177', 'NCT02238002', 'NCT02312362', 'NCT03090256', 'NCT01078103', 'NCT02842151', 'NCT03685825', 'NCT01936714', 'NCT02138123', 'NCT01887873', 'NCT02502526', 'NCT03580473', 'NCT01396967', 'NCT01605877', 'NCT02826421', 'NCT01141985', 'NCT01103401', 'NCT02605408', 'NCT02888210', 'NCT01098812', 'NCT01361282', 'NCT02890303', 'NCT01998698', 'NCT03397069', 'NCT03584139', 'NCT02006888', 'NCT00673803', 'NCT00932191', 'NCT00684138', 'NCT01982006', 'NCT00934960', 'NCT00742950', 'NCT01230060', 'NCT03953053', 'NCT02633228', 'NCT00763360', 'NCT00762606', 'NCT01601665', 'NCT03494257', 'NCT01296191', 'NCT02466256', 'NCT01334658', 'NCT04476810', 'NCT01001806', 'NCT02338882', 'NCT01936740', 'NCT03054103', 'NCT01726543', 'NCT02058394', 'NCT03693989', 'NCT00386438', 'NCT03350503', 'NCT03740659', 'NCT01170130', 'NCT02277314', 'NCT01936701', 'NCT03864133', 'NCT02329743', 'NCT01021761', 'NCT03976791', 'NCT00774228', 'NCT01429532', 'NCT00974844', 'NCT04161963', 'NCT00348270', 'NCT03593616', 'NCT01373853', 'NCT01872611', 'NCT01714635', 'NCT01767012', 'NCT01859910', 'NCT03972670', 'NCT04059796', 'NCT00838045', 'NCT02508337', 'NCT00434707', 'NCT01061918', 'NCT02835482', 'NCT00747227', 'NCT00273221', 'NCT02203721', 'NCT02434250', 'NCT04503356', 'NCT02351271', 'NCT02096627', 'NCT01014702', 'NCT02270879', 'NCT01382823']",have_had,211.0
cataracts,C0086543,bilateral cataracts,['C0521707'],2.7086862,disease or syndrome,"['NCT00348270', 'NCT00459303', 'NCT00576485', 'NCT00684138', 'NCT00711347', 'NCT00747227', 'NCT00756327', 'NCT00758199', 'NCT00758576', 'NCT00760058', 'NCT00761488', 'NCT00762216', 'NCT00786565', 'NCT00818116', 'NCT00838942', 'NCT00963560', 'NCT00969371', 'NCT00999492', 'NCT01061918', 'NCT01166971', 'NCT01210807', 'NCT01257217', 'NCT01275118', 'NCT01299155', 'NCT01323777', 'NCT01424189', 'NCT01510717', 'NCT01553760', 'NCT01601665', 'NCT01605877', 'NCT01686308', 'NCT01712503', 'NCT01713660', 'NCT01714635', 'NCT01936701', 'NCT01946581', 'NCT02155348', 'NCT02203721', 'NCT02270879', 'NCT02513745', 'NCT02515045', 'NCT02521766', 'NCT02529488', 'NCT02566083', 'NCT02578524', 'NCT02595177', 'NCT02649842', 'NCT02691741', 'NCT02761850', 'NCT02835482', 'NCT02863159', 'NCT02895035', 'NCT02974140', 'NCT02985723', 'NCT03050697', 'NCT03054649', 'NCT03060954', 'NCT03111550', 'NCT03117426', 'NCT03172351', 'NCT03280108', 'NCT03316885', 'NCT03500198', 'NCT03501654', 'NCT03578276', 'NCT03593824', 'NCT03708367', 'NCT03726606', 'NCT03748381', 'NCT03749161', 'NCT03751215', 'NCT03751254', 'NCT03787576', 'NCT03819842', 'NCT03955796', 'NCT04045704', 'NCT04058314', 'NCT04059796', 'NCT04074954', 'NCT04122664', 'NCT04124952', 'NCT04126187', 'NCT04128514', 'NCT04156737', 'NCT04187157', 'NCT04210232', 'NCT04327518', 'NCT04441268', 'NCT04465864', 'NCT04479748', 'NCT04482439']",have_had,91.0
cataracts,C0086543,senile cataract,['C0036646'],1.63309582,acquired abnormality,"['NCT00078299', 'NCT00081991', 'NCT00309387', 'NCT00312299', 'NCT00347243', 'NCT00425464', 'NCT00428363', 'NCT00449267', 'NCT00542581', 'NCT00576485', 'NCT00612729', 'NCT00612781', 'NCT00624039', 'NCT00673803', 'NCT00716339', 'NCT00720005', 'NCT00762606', 'NCT00763360', 'NCT00793091', 'NCT00801359', 'NCT00804726', 'NCT00820014', 'NCT00825747', 'NCT00838045', 'NCT00865540', 'NCT00886249', 'NCT00960700', 'NCT01010490', 'NCT01028872', 'NCT01085357', 'NCT01140477', 'NCT01142960', 'NCT01190631', 'NCT01192321', 'NCT01230060', 'NCT01259349', 'NCT01305005', 'NCT01334658', 'NCT01396629', 'NCT01396967', 'NCT01480557', 'NCT01544777', 'NCT01598428', 'NCT01615861', 'NCT01659801', 'NCT01732484', 'NCT01734343', 'NCT01742910', 'NCT01763593', 'NCT01767012', 'NCT01778998', 'NCT01786356', 'NCT01824927', 'NCT01936701', 'NCT01936714', 'NCT01936727', 'NCT01936740', 'NCT01998698', 'NCT02028754', 'NCT02084576', 'NCT02089698', 'NCT02150460', 'NCT02155270', 'NCT02155348', 'NCT02155478', 'NCT02155959', 'NCT02185807', 'NCT02208232', 'NCT02304861', 'NCT02394379', 'NCT02423668', 'NCT02445274', 'NCT02558218', 'NCT02593669', 'NCT02609997', 'NCT02649257', 'NCT02678962', 'NCT02698943', 'NCT03050008', 'NCT03062085', 'NCT03224728', 'NCT03242486', 'NCT03247751', 'NCT03273907', 'NCT03685825', 'NCT03689270', 'NCT03705949', 'NCT03748381', 'NCT03749161', 'NCT03749759', 'NCT03751215', 'NCT03751254', 'NCT03876782', 'NCT03907358', 'NCT03921762', 'NCT03972670', 'NCT03976791', 'NCT04014699', 'NCT04063644', 'NCT04100031', 'NCT04163926', 'NCT04196621', 'NCT04265820', 'NCT04295122', 'NCT04323358', 'NCT04329754', 'NCT04345380', 'NCT04461912', 'NCT04465344']",have_had,109.0
cataracts,C0086543,mydriasis,['C0026961'],0.97136134,sign or symptom|therapeutic or preventive procedure,"['NCT00001617', 'NCT00078299', 'NCT00335400', 'NCT00348270', 'NCT00690222', 'NCT00747565', 'NCT00758745', 'NCT00760487', 'NCT00762606', 'NCT00845520', 'NCT00865540', 'NCT00904904', 'NCT00934622', 'NCT00999492', 'NCT01010490', 'NCT01061918', 'NCT01105585', 'NCT01170130', 'NCT01190631', 'NCT01192321', 'NCT01193127', 'NCT01248572', 'NCT01264653', 'NCT01275118', 'NCT01496066', 'NCT01659801', 'NCT01824927', 'NCT02101359', 'NCT02183831', 'NCT02378636', 'NCT02521766', 'NCT02626416', 'NCT02863159', 'NCT02895035', 'NCT02909140', 'NCT02939001', 'NCT03050697', 'NCT03242486', 'NCT03638726', 'NCT03740659', 'NCT03844828', 'NCT03851172', 'NCT03931629', 'NCT03976791', 'NCT04005651', 'NCT04014699', 'NCT04345380', 'NCT04396301']",have_had,48.0
cataracts,C0086543,locs,['C0041657'],0.89215344,disease or syndrome,"['NCT00001613', 'NCT00001617', 'NCT00007215', 'NCT01069172', 'NCT01256918', 'NCT01259349', 'NCT01330797', 'NCT01480557', 'NCT01694212', 'NCT01936714', 'NCT01936727', 'NCT01936740', 'NCT01971177', 'NCT02073266', 'NCT02110212', 'NCT02138123', 'NCT02304861', 'NCT02466256', 'NCT02558218', 'NCT02698943', 'NCT02895074', 'NCT02898909', 'NCT02973880', 'NCT03050008', 'NCT03169855', 'NCT03396003', 'NCT03461978', 'NCT03693989', 'NCT03705949', 'NCT03976791', 'NCT04014699', 'NCT04063644', 'NCT04067856']",have_had,33.0
cataracts,C0086543,bilateral age-related cataract,['C2025430'],0.76579986,disease or syndrome,"['NCT00312299', 'NCT00428363', 'NCT00612729', 'NCT00612781', 'NCT00673803', 'NCT01598428', 'NCT01732484', 'NCT01734343', 'NCT01742910', 'NCT01767012', 'NCT01786356', 'NCT01936701', 'NCT01936714', 'NCT01936727', 'NCT01936740', 'NCT01998698', 'NCT02208232', 'NCT02423668', 'NCT02593669', 'NCT02609997', 'NCT02649257', 'NCT03224728', 'NCT03247751', 'NCT03749759', 'NCT03921762', 'NCT04196621', 'NCT04345380']",have_had,27.0
cataracts,C0086543,glare,['C3887688'],0.75527422,sign or symptom,"['NCT00348270', 'NCT00963742', 'NCT00969371', 'NCT01061918', 'NCT01098812', 'NCT01225952', 'NCT01230060', 'NCT01268540', 'NCT01496066', 'NCT01714635', 'NCT01982006', 'NCT02155348', 'NCT02203721', 'NCT02219997', 'NCT02394379', 'NCT02644720', 'NCT03073681', 'NCT03117426', 'NCT03169855', 'NCT03179397', 'NCT03274986', 'NCT03454334', 'NCT03501654', 'NCT03633695', 'NCT03660865', 'NCT03997890', 'NCT04058314', 'NCT04059796']",have_had,28.0
cataracts,C0086543,cancer,['C0006826'],0.57504858,neoplastic process,"['NCT00784225', 'NCT00925600', 'NCT01127698', 'NCT01505816', 'NCT01686308', 'NCT01763411', 'NCT03205202', 'NCT03367767']",have_had,8.0
