condition,condition_cui,label,label_cui,label_score,label_semantic_types,label_ncts,label_bucket,label_ncts_count
dyslexia,C0476254,developmental dyslexia,['C0920296'],0.32495832,mental or behavioral dysfunction,"['NCT00068835', 'NCT00245804', 'NCT00254644', 'NCT02217696', 'NCT02393729', 'NCT02622360', 'NCT02791841', 'NCT03448237', 'NCT04028310', 'NCT04157829', 'NCT04287530', 'NCT04382482', 'NCT04384718', 'NCT04384952']",have_had,14.0
dyslexia,C0476254,deficit,['C4761312'],0.23418548,disease or syndrome,"['NCT00254644', 'NCT04277351', 'NCT04384952', 'NCT02872870', 'NCT01860027', 'NCT01012778', 'NCT00607919', 'NCT02217696', 'NCT03364010', 'NCT04287530', 'NCT00245804', 'NCT00191906', 'NCT03285789']",have_had,13.0
dyslexia,C0476254,reading disorder,['C0037789'],0.152324406,mental or behavioral dysfunction,"['NCT00068835', 'NCT00191906', 'NCT00245804', 'NCT01860027', 'NCT02316873', 'NCT04287530', 'NCT04382482', 'NCT04384718']",have_had,8.0
dyslexia,C0476254,learning disorder,['C0023186'],0.134260362,mental or behavioral dysfunction,"['NCT04382482', 'NCT04157829', 'NCT02217696', 'NCT03364010', 'NCT04287530', 'NCT02393729', 'NCT04384718']",have_had,7.0
dyslexia,C0476254,learning disability,['C0751265'],0.133514928,mental or behavioral dysfunction,"['NCT00245804', 'NCT00254644', 'NCT01860027', 'NCT02964884', 'NCT03364010', 'NCT04122820', 'NCT04323488', 'NCT04384952', 'NCT04386161']",have_had,9.0
dyslexia,C0476254,reading disabilities,['C0871215'],0.10695737699999999,mental or behavioral dysfunction,"['NCT00061412', 'NCT00065832', 'NCT01860027', 'NCT02964884', 'NCT04059939']",have_had,5.0
dyslexia,C0476254,visual impairment,['C0042798'],0.06779668,disease or syndrome,['NCT02964884'],have_had,1.0
dyslexia,C0476254,ganglion,['C0085648'],0.0586111,disease or syndrome,['NCT04287530'],have_had,1.0
dyslexia,C0476254,spina bifida,['C0080178'],0.056321569999999994,congenital abnormality,"['NCT02964884', 'NCT04386161']",have_had,2.0
dyslexia,C0476254,speech therapy,['C0009460'],0.047969837999999994,mental or behavioral dysfunction|therapeutic or preventive procedure,"['NCT00818428', 'NCT02345876', 'NCT03448237', 'NCT04384952']",have_had,4.0
