condition,condition_cui,label,label_cui,label_score,label_semantic_types,label_ncts,label_bucket,label_ncts_count
headaches,C0018681,migraine,['C0149931'],1.56872264,disease or syndrome,"['NCT00298805', 'NCT00212810', 'NCT04182659', 'NCT01917474', 'NCT04352218', 'NCT03280342', 'NCT01581281', 'NCT01172405', 'NCT03185130', 'NCT00231595', 'NCT02697071', 'NCT01545466', 'NCT04287140', 'NCT02742272', 'NCT03472872', 'NCT01687101', 'NCT04529356', 'NCT01726920', 'NCT02655523', 'NCT01946126', 'NCT00210821', 'NCT03886012', 'NCT00297375', 'NCT01736774', 'NCT04012047', 'NCT01213056', 'NCT01513291', 'NCT01667679', 'NCT00732108', 'NCT04284501', 'NCT01357798', 'NCT00261469', 'NCT02357381', 'NCT00298142', 'NCT01216358', 'NCT02518464', 'NCT04138316', 'NCT03030794', 'NCT00510172', 'NCT02747511', 'NCT02735343', 'NCT03166358', 'NCT01976611', 'NCT04218487', 'NCT00018811', 'NCT00600717', 'NCT01073787', 'NCT01618201', 'NCT00969995', 'NCT01896167', 'NCT00236561', 'NCT03472092', 'NCT01854580', 'NCT02953015', 'NCT03183791', 'NCT02473692', 'NCT02866084', 'NCT04509141', 'NCT00564408', 'NCT04151576', 'NCT03789370', 'NCT01338701', 'NCT02403687', 'NCT00236509', 'NCT01390324', 'NCT02709369', 'NCT00155129', 'NCT01184222', 'NCT00272896', 'NCT02266329', 'NCT01687660']",have_had,71.0
headaches,C0018681,tension headache,"['C0033893', 'C0723643']",0.53239428,disease or syndrome|pharmacologic substance|organic chemical,"['NCT01854580', 'NCT01182051', 'NCT01011673', 'NCT00298142', 'NCT02887638', 'NCT03472872', 'NCT04352218', 'NCT01464983', 'NCT01736774', 'NCT04218487', 'NCT00018811', 'NCT01172405', 'NCT04091555', 'NCT01552798', 'NCT01618201', 'NCT00969995', 'NCT03166358']",have_had,17.0
headaches,C0018681,headache disorder,['C0393735'],0.44287132,disease or syndrome,"['NCT00159588', 'NCT00298142', 'NCT00852748', 'NCT00862095', 'NCT01073787', 'NCT01357798', 'NCT01545466', 'NCT01581281', 'NCT01667679', 'NCT01687660', 'NCT02473692', 'NCT02697071', 'NCT02734992', 'NCT03081416', 'NCT03166358', 'NCT03183791', 'NCT03472092', 'NCT04138316', 'NCT04222244', 'NCT04287140', 'NCT04352218']",have_had,21.0
headaches,C0018681,chronic headaches,['C0151293'],0.40707229999999994,disease or syndrome,"['NCT00389038', 'NCT00853138', 'NCT00956969', 'NCT01182051', 'NCT01213056', 'NCT01332864', 'NCT01664585', 'NCT02440997', 'NCT02467127', 'NCT02475005', 'NCT03790124', 'NCT04284501', 'NCT04339335', 'NCT04352218']",have_had,14.0
headaches,C0018681,daily headache,['C3661947'],0.30566666,disease or syndrome,"['NCT03472092', 'NCT01182051', 'NCT00389038', 'NCT02518464', 'NCT00212810', 'NCT01338701', 'NCT04051203', 'NCT02440997', 'NCT00135122']",have_had,9.0
headaches,C0018681,neck pain,['C0007859'],0.30329755999999997,sign or symptom,"['NCT00298142', 'NCT00457496', 'NCT01054378', 'NCT01736774', 'NCT01745705', 'NCT03606707', 'NCT03852355', 'NCT03869710', 'NCT04169646', 'NCT04222244', 'NCT04305223', 'NCT04401501', 'NCT04490798']",have_had,13.0
headaches,C0018681,post-dural puncture headache,['C0751188'],0.22003722,sign or symptom,"['NCT02122419', 'NCT02760862', 'NCT02962427', 'NCT03156049', 'NCT03790124']",have_had,5.0
headaches,C0018681,cervicogenic headache,['C0458101'],0.21520752,disease or syndrome,"['NCT00298142', 'NCT01736774', 'NCT02655523', 'NCT02887638', 'NCT03385889', 'NCT04305223', 'NCT04401501']",have_had,7.0
headaches,C0018681,angina pectoris,['C0002962'],0.19839494,sign or symptom,"['NCT00958776', 'NCT04218487']",have_had,2.0
headaches,C0018681,hypertension,['C0020538'],0.18581853999999998,disease or syndrome,"['NCT00067249', 'NCT03373292', 'NCT03660618', 'NCT03767803']",have_had,4.0
headaches,C0018681,shoulder pain,['C0037011'],0.1531486,sign or symptom,"['NCT01054378', 'NCT04490798']",have_had,2.0
headaches,C0018681,headache occurring,['C0857361'],0.14637538,sign or symptom,"['NCT01184222', 'NCT01664585', 'NCT03385889', 'NCT04051203', 'NCT04138316']",have_had,5.0
headaches,C0018681,chronic pain,['C0150055'],0.14345208,sign or symptom,"['NCT00853138', 'NCT01213056', 'NCT01316471', 'NCT01496378', 'NCT01591980', 'NCT01974791', 'NCT02709369', 'NCT02734992', 'NCT03166358', 'NCT03691272', 'NCT04043962', 'NCT04490798']",have_had,12.0
headaches,C0018681,tension,['C0233494'],0.142617816,mental or behavioral dysfunction,"['NCT01854580', 'NCT01182051', 'NCT01011673', 'NCT00298142', 'NCT02887638', 'NCT03472872', 'NCT04352218', 'NCT01464983', 'NCT01736774', 'NCT04218487', 'NCT01338701', 'NCT00018811', 'NCT01172405', 'NCT04091555', 'NCT01552798', 'NCT01618201', 'NCT00969995', 'NCT03166358']",have_had,18.0
headaches,C0018681,episodic tension-type headache,['C0393737'],0.1417177,disease or syndrome,"['NCT01011673', 'NCT01464983']",have_had,2.0
headaches,C0018681,heart failure,['C0018801'],0.13026766,disease or syndrome,"['NCT00958776', 'NCT03660618', 'NCT04287140']",have_had,3.0
headaches,C0018681,chronic obstructive pulmonary disease (copd),['C0024117'],0.1197777,disease or syndrome,[],have_had,0.0
headaches,C0018681,acute headache,['C0744633'],0.11390712,sign or symptom,"['NCT00632606', 'NCT02268058', 'NCT03066622', 'NCT03081416', 'NCT03951649']",have_had,5.0
headaches,C0018681,arthralgia,['C0003862'],0.1073935,sign or symptom,"['NCT00067249', 'NCT02758990', 'NCT02947022', 'NCT03030794', 'NCT04182659']",have_had,5.0
headaches,C0018681,back pain,['C0004604'],0.10049294,sign or symptom,"['NCT01687101', 'NCT02887638', 'NCT00450060', 'NCT01321190', 'NCT01974791', 'NCT01808664', 'NCT04490798', 'NCT00067249']",have_had,8.0
headaches,C0018681,nasal congestion,['C0027424'],0.09804998000000001,sign or symptom|pathologic function,"['NCT00378144', 'NCT00957996', 'NCT00958776']",have_had,3.0
headaches,C0018681,depression,['C0011570'],0.09199687999999999,sign or symptom|mental or behavioral dysfunction,"['NCT00067249', 'NCT01213056', 'NCT01854580', 'NCT02709369', 'NCT03308630', 'NCT03660618', 'NCT03783312', 'NCT04182659', 'NCT04183842', 'NCT04218487', 'NCT04529356']",have_had,11.0
