condition,condition_cui,label,label_cui,label_score,label_semantic_types,label_ncts,label_bucket,label_ncts_count
multiple sclerosis,C0026769,chronic progressive multiple sclerosis,['C0393665'],1.9393922799999999,disease or syndrome,"['NCT00001934', 'NCT00004816', 'NCT00014755', 'NCT00040482', 'NCT00086671', 'NCT00087529', 'NCT00260741', 'NCT00298662', 'NCT00313976', 'NCT00436826', 'NCT00467584', 'NCT00607126', 'NCT00682929', 'NCT00695084', 'NCT00799890', 'NCT00881205', 'NCT00997438', 'NCT01031459', 'NCT01089686', 'NCT01097538', 'NCT01103583', 'NCT01144351', 'NCT01212094', 'NCT01259388', 'NCT01335633', 'NCT01339234', 'NCT01381354', 'NCT01411514', 'NCT01448252', 'NCT01450488', 'NCT01538225', 'NCT01684761', 'NCT01737372', 'NCT01765361', 'NCT01854359', 'NCT01915433', 'NCT01933802', 'NCT02048358', 'NCT02143167', 'NCT02166021', 'NCT02220933', 'NCT02364505', 'NCT02421731', 'NCT02518776', 'NCT02649985', 'NCT02726672', 'NCT02807285', 'NCT02874677', 'NCT02907177', 'NCT02936037', 'NCT03045380', 'NCT03113162', 'NCT03134716', 'NCT03147105', 'NCT03161028', 'NCT03222973', 'NCT03355365', 'NCT03396822', 'NCT03408093', 'NCT03493841', 'NCT03499314', 'NCT03593590', 'NCT03606460', 'NCT03653273', 'NCT03653585', 'NCT03691077', 'NCT03737812', 'NCT03737851', 'NCT03822858', 'NCT03933202', 'NCT03933215', 'NCT03951181', 'NCT03972306', 'NCT04178005', 'NCT04201470', 'NCT04230174', 'NCT04289909', 'NCT04304027']",have_had,78.0
multiple sclerosis,C0026769,fatigue,['C0015672'],1.8828710400000002,sign or symptom,"['NCT00010998', 'NCT00053417', 'NCT00134563', 'NCT00137904', 'NCT00190268', 'NCT00223301', 'NCT00267319', 'NCT00342381', 'NCT00393588', 'NCT00464074', 'NCT00467584', 'NCT00475865', 'NCT00489489', 'NCT00591721', 'NCT00622700', 'NCT00751881', 'NCT00754832', 'NCT00766272', 'NCT00811902', 'NCT00882453', 'NCT00883337', 'NCT00944190', 'NCT00947232', 'NCT00981084', 'NCT00981643', 'NCT01106365', 'NCT01122056', 'NCT01149525', 'NCT01198977', 'NCT01216137', 'NCT01250665', 'NCT01354665', 'NCT01381354', 'NCT01419301', 'NCT01435694', 'NCT01464749', 'NCT01516554', 'NCT01532037', 'NCT01547234', 'NCT01555684', 'NCT01563900', 'NCT01572714', 'NCT01611987', 'NCT01667484', 'NCT01698086', 'NCT01720849', 'NCT01765361', 'NCT01774201', 'NCT01838174', 'NCT01864707', 'NCT01879202', 'NCT01896700', 'NCT01914016', 'NCT01915433', 'NCT01918748', 'NCT01918800', 'NCT01977287', 'NCT02008669', 'NCT02012439', 'NCT02082002', 'NCT02090348', 'NCT02184494', 'NCT02236624', 'NCT02264704', 'NCT02290990', 'NCT02297932', 'NCT02386566', 'NCT02391961', 'NCT02418897', 'NCT02421731', 'NCT02459821', 'NCT02474940', 'NCT02496416', 'NCT02607020', 'NCT02649985', 'NCT02702804', 'NCT02726672', 'NCT02746705', 'NCT02747914', 'NCT02771652', 'NCT02848976', 'NCT02870023', 'NCT02874677', 'NCT02889419', 'NCT02898974', 'NCT02913209', 'NCT02914964', 'NCT02960984', 'NCT02987621', 'NCT03000127', 'NCT03110315', 'NCT03136744', 'NCT03153553', 'NCT03164018', 'NCT03166800', 'NCT03187847', 'NCT03198598', 'NCT03207464', 'NCT03222596', 'NCT03255460', 'NCT03256851', 'NCT03266965', 'NCT03268187', 'NCT03269175', 'NCT03271125', 'NCT03281330', 'NCT03322982', 'NCT03345199', 'NCT03353974', 'NCT03362541', 'NCT03410498', 'NCT03436927', 'NCT03442049', 'NCT03490240', 'NCT03492450', 'NCT03500289', 'NCT03501342', 'NCT03505294', 'NCT03508284', 'NCT03550170', 'NCT03593590', 'NCT03594357', 'NCT03603691', 'NCT03621761', 'NCT03638739', 'NCT03647904', 'NCT03655431', 'NCT03658668', 'NCT03662347', 'NCT03684369', 'NCT03708276', 'NCT03709290', 'NCT03759249', 'NCT03759522', 'NCT03768830', 'NCT03782246', 'NCT03783585', 'NCT03801473', 'NCT03803800', 'NCT03807973', 'NCT03808545', 'NCT03817073', 'NCT03827928', 'NCT03838770', 'NCT03839381', 'NCT03856801', 'NCT03870048', 'NCT03873389', 'NCT03938558', 'NCT03951181', 'NCT03967106', 'NCT03976128', 'NCT03983252', 'NCT03983720', 'NCT03999034', 'NCT04002102', 'NCT04004026', 'NCT04006613', 'NCT04011579', 'NCT04016844', 'NCT04035720', 'NCT04054050', 'NCT04066972', 'NCT04090996', 'NCT04097418', 'NCT04100343', 'NCT04120207', 'NCT04125823', 'NCT04144257', 'NCT04147052', 'NCT04157283', 'NCT04158063', 'NCT04175054', 'NCT04175418', 'NCT04182269', 'NCT04215354', 'NCT04244214', 'NCT04267926', 'NCT04276324', 'NCT04304027', 'NCT04356248', 'NCT04388592', 'NCT04408274', 'NCT04408742', 'NCT04416243', 'NCT04429789', 'NCT04438954', 'NCT04452760', 'NCT04490044', 'NCT04495556', 'NCT04515355']",have_had,191.0
multiple sclerosis,C0026769,relapsing multiple sclerosis,['C0856120'],1.4460363600000001,disease or syndrome,"['NCT00246324', 'NCT00509145', 'NCT01339676', 'NCT00134563', 'NCT01707992', 'NCT02518776', 'NCT03593590', 'NCT02914964', 'NCT02294058', 'NCT03600779', 'NCT02939079', 'NCT02418897', 'NCT04410965', 'NCT01157728', 'NCT01354665', 'NCT02308670', 'NCT00942214', 'NCT00333138', 'NCT01489254', 'NCT00492765', 'NCT01093326', 'NCT01433250', 'NCT03250169', 'NCT00940719', 'NCT04061681', 'NCT02525874', 'NCT02117375', 'NCT01930799', 'NCT01647880', 'NCT01797965', 'NCT02673827', 'NCT03373344', 'NCT01863888', 'NCT02634307', 'NCT02425644', 'NCT00035529', 'NCT03949387', 'NCT00355134', 'NCT01457924', 'NCT01864148', 'NCT03944538', 'NCT01395316', 'NCT02076841', 'NCT04178005', 'NCT02048358', 'NCT00986960', 'NCT03177655', 'NCT04056897', 'NCT01198132', 'NCT01994018', 'NCT01144351', 'NCT02468765', 'NCT00381576', 'NCT01070823', 'NCT01081275', 'NCT03933202', 'NCT01067573', 'NCT01085318', 'NCT00151801', 'NCT03873389', 'NCT03983252', 'NCT00599274', 'NCT01480076', 'NCT02280096', 'NCT01005095', 'NCT02588053', 'NCT01156311', 'NCT01906684', 'NCT01641120', 'NCT00784836', 'NCT01791244', 'NCT04380220', 'NCT04062331', 'NCT00267319', 'NCT03243721', 'NCT02463318', 'NCT00537082', 'NCT01838668', 'NCT04075266', 'NCT01847287', 'NCT03933215', 'NCT00937677', 'NCT00958009', 'NCT01128075', 'NCT00525343', 'NCT02665221', 'NCT04236544', 'NCT01403376', 'NCT03135249', 'NCT02419638', 'NCT03516526', 'NCT04239820', 'NCT01377870', 'NCT01930708', 'NCT01006265', 'NCT02121444', 'NCT01767493', 'NCT03408093', 'NCT02904876', 'NCT01226745', 'NCT00324506', 'NCT01195857', 'NCT01768039', 'NCT04389970', 'NCT00079495', 'NCT01440101', 'NCT02499900', 'NCT00325988', 'NCT00206635', 'NCT01184833', 'NCT01333358', 'NCT02005237', 'NCT01874340', 'NCT00640328', 'NCT01199640', 'NCT00104143', 'NCT02769689', 'NCT01411514', 'NCT03322761', 'NCT01195870', 'NCT00751881', 'NCT00883337', 'NCT04201470', 'NCT00942591', 'NCT04230174', 'NCT00490906', 'NCT02509897', 'NCT02907177', 'NCT04157283', 'NCT00097188', 'NCT00753792', 'NCT03963492', 'NCT00217295', 'NCT01766063', 'NCT00662649', 'NCT03853746', 'NCT00340834', 'NCT02143167', 'NCT02090348', 'NCT02403947', 'NCT01416155', 'NCT01081782', 'NCT01514370', 'NCT04480853', 'NCT00735007', 'NCT02907281', 'NCT03369665', 'NCT03222973', 'NCT01071512', 'NCT00670449', 'NCT01895335', 'NCT04140305', 'NCT03193086', 'NCT01167426', 'NCT01122056', 'NCT02201108', 'NCT03737851', 'NCT01706055', 'NCT03029897', 'NCT01250678', 'NCT02004444', 'NCT01864941', 'NCT01973517', 'NCT04496804', 'NCT00240006', 'NCT02776072', 'NCT04150549', 'NCT01181115', 'NCT03961204', 'NCT01491100', 'NCT03108573', 'NCT03736902', 'NCT00618527', 'NCT03232073', 'NCT02225977', 'NCT03368664', 'NCT03606460', 'NCT03656055', 'NCT01101776', 'NCT00395317', 'NCT02442570', 'NCT01272128', 'NCT00436826', 'NCT00370071', 'NCT00004814', 'NCT03691077', 'NCT02649985', 'NCT03551275', 'NCT00910598', 'NCT04002934', 'NCT01836055', 'NCT03372187', 'NCT03364036', 'NCT01497262', 'NCT00803049', 'NCT01020370', 'NCT02486640', 'NCT01973491', 'NCT00207727', 'NCT02576717']",have_had,200.0
multiple sclerosis,C0026769,clinically isolated syndrome,['C2921627'],1.12493996,disease or syndrome,"['NCT00001248', 'NCT00094172', 'NCT00099307', 'NCT00146068', 'NCT00616733', 'NCT00617383', 'NCT00666224', 'NCT00704834', 'NCT00725985', 'NCT00818103', 'NCT00882453', 'NCT00910598', 'NCT00922831', 'NCT00937157', 'NCT01112657', 'NCT01167426', 'NCT01250665', 'NCT01272128', 'NCT01272596', 'NCT01411514', 'NCT01413243', 'NCT01569451', 'NCT01728922', 'NCT01737372', 'NCT01804647', 'NCT01817166', 'NCT01836055', 'NCT01865357', 'NCT02043964', 'NCT02142764', 'NCT02504840', 'NCT02664324', 'NCT02671682', 'NCT02695394', 'NCT02789670', 'NCT02912897', 'NCT03369106', 'NCT03408093', 'NCT03438357', 'NCT03451955', 'NCT03541226', 'NCT03632473', 'NCT03674099', 'NCT03692975', 'NCT03744351', 'NCT03752307', 'NCT03796247', 'NCT03872583', 'NCT03888924', 'NCT03926637', 'NCT03968172', 'NCT04024969', 'NCT04038541', 'NCT04122989', 'NCT04231253', 'NCT04387110', 'NCT04510350']",have_had,57.0
multiple sclerosis,C0026769,interferon,['C0021747'],1.09637676,pharmacologic substance,"['NCT00246324', 'NCT00313976', 'NCT00501943', 'NCT01339676', 'NCT00146068', 'NCT02949908', 'NCT00001934', 'NCT01712945', 'NCT03477500', 'NCT02294058', 'NCT00813709', 'NCT01207648', 'NCT02939079', 'NCT00873340', 'NCT01888354', 'NCT00544037', 'NCT01354665', 'NCT00942214', 'NCT01556685', 'NCT02282878', 'NCT00492765', 'NCT00338741', 'NCT00828204', 'NCT00344253', 'NCT01036165', 'NCT01647880', 'NCT02749396', 'NCT01797965', 'NCT03424733', 'NCT01578330', 'NCT04448444', 'NCT01587690', 'NCT03032601', 'NCT00963833', 'NCT00819195', 'NCT03109288', 'NCT03653273', 'NCT00298662', 'NCT01863069', 'NCT01142557', 'NCT01073813', 'NCT01395316', 'NCT02076841', 'NCT00986960', 'NCT02601885', 'NCT03134573', 'NCT00702468', 'NCT00342134', 'NCT00913666', 'NCT01198132', 'NCT01952483', 'NCT01144351', 'NCT00011375', 'NCT01034644', 'NCT00811395', 'NCT00915577', 'NCT01099930', 'NCT00461396', 'NCT03319732', 'NCT01414816', 'NCT00404352', 'NCT01067573', 'NCT01453764', 'NCT00151801', 'NCT00086671', 'NCT00288990', 'NCT01621269', 'NCT00599274', 'NCT00630721', 'NCT00463710', 'NCT01005095', 'NCT01156311', 'NCT00784836', 'NCT00882453', 'NCT00267319', 'NCT00278655', 'NCT01847287', 'NCT02087631', 'NCT00489489', 'NCT00473213', 'NCT01166178', 'NCT01413243', 'NCT01031199', 'NCT01403376', 'NCT00915460', 'NCT01250665', 'NCT01333501', 'NCT04260711', 'NCT02239393', 'NCT01377870', 'NCT00270816', 'NCT02474134', 'NCT02121444', 'NCT03408093', 'NCT01074619', 'NCT00037102', 'NCT01118130', 'NCT00168714', 'NCT00818103', 'NCT01171209', 'NCT02727907', 'NCT01981161', 'NCT02702804', 'NCT00273364', 'NCT01768039', 'NCT00484536', 'NCT01440101', 'NCT00393588', 'NCT01626248', 'NCT00206635', 'NCT04096443', 'NCT01184833', 'NCT01333358', 'NCT03290131', 'NCT04289675', 'NCT00493077', 'NCT00893217', 'NCT01911767', 'NCT00223457', 'NCT00103974', 'NCT01049451', 'NCT00883337', 'NCT00942591', 'NCT00490906', 'NCT00468182', 'NCT00289159', 'NCT02391064', 'NCT01892722', 'NCT01802489', 'NCT04053374', 'NCT00781872', 'NCT01074346', 'NCT01766063', 'NCT03853746', 'NCT00497952', 'NCT00040482', 'NCT00340834', 'NCT00928967', 'NCT02403947', 'NCT01465087', 'NCT02529839', 'NCT01854957', 'NCT01416155', 'NCT01076595', 'NCT00006060', 'NCT02269930', 'NCT00179478', 'NCT01514370', 'NCT01795872', 'NCT00202384', 'NCT00638196', 'NCT00735007', 'NCT02937285', 'NCT01031459', 'NCT02236624', 'NCT03577977', 'NCT00037115', 'NCT01122056', 'NCT01706055', 'NCT01244139', 'NCT03784547', 'NCT02096133', 'NCT03029897', 'NCT03073603', 'NCT01500408', 'NCT01432704', 'NCT01745783', 'NCT01181115', 'NCT00110396', 'NCT01491100', 'NCT00912860', 'NCT01730547', 'NCT00618527', 'NCT03368664', 'NCT01101776', 'NCT01272128', 'NCT00436826', 'NCT00370071', 'NCT00185211', 'NCT02486640', 'NCT00439257', 'NCT01206023', 'NCT00605215', 'NCT00725985', 'NCT00147446', 'NCT04356339']",looking_for,186.0
multiple sclerosis,C0026769,optic neuritis,['C0029134'],0.9787511,disease or syndrome,"['NCT00000146', 'NCT00000147', 'NCT00261326', 'NCT00323271', 'NCT00395200', 'NCT00418145', 'NCT00445367', 'NCT00622700', 'NCT00704834', 'NCT00772525', 'NCT00818103', 'NCT00854750', 'NCT00910598', 'NCT01024985', 'NCT01073813', 'NCT01274702', 'NCT01337986', 'NCT01442233', 'NCT01451593', 'NCT01596881', 'NCT01647880', 'NCT01720849', 'NCT01774123', 'NCT01802489', 'NCT01838174', 'NCT01851434', 'NCT01906684', 'NCT01986998', 'NCT02220244', 'NCT02912897', 'NCT03370965', 'NCT03656055', 'NCT04042363', 'NCT04131764', 'NCT04202055', 'NCT04289909', 'NCT04495556']",have_had,37.0
multiple sclerosis,C0026769,nervous,['C0027769'],0.9333131,sign or symptom,"['NCT00176592', 'NCT00501943', 'NCT02518776', 'NCT03461419', 'NCT02874677', 'NCT02571335', 'NCT03216915', 'NCT02142764', 'NCT01567553', 'NCT04281160', 'NCT04490044', 'NCT00127075', 'NCT03256851', 'NCT02493166', 'NCT02580435', 'NCT03401307', 'NCT02331654', 'NCT03963375', 'NCT03436927', 'NCT01918800', 'NCT04452760', 'NCT00704626', 'NCT00618085', 'NCT01442233', 'NCT02489877', 'NCT02805634', 'NCT04276324', 'NCT00043264', 'NCT00794352', 'NCT03033355', 'NCT04325074', 'NCT01606137', 'NCT03150966', 'NCT04496830', 'NCT00001156', 'NCT01918501', 'NCT02048072', 'NCT03816345', 'NCT04521439', 'NCT01099930', 'NCT01555684', 'NCT02504840', 'NCT04090996', 'NCT01085318', 'NCT02307877', 'NCT01816100', 'NCT00064909', 'NCT02440516', 'NCT02683863', 'NCT01906684', 'NCT03653585', 'NCT02209467', 'NCT03154801', 'NCT01517282', 'NCT00094172', 'NCT01326715', 'NCT03268239', 'NCT01377870', 'NCT03856801', 'NCT03451955', 'NCT00039988', 'NCT01195857', 'NCT00053417', 'NCT03339908', 'NCT00393588', 'NCT02967380', 'NCT03751306', 'NCT00001781', 'NCT02523703', 'NCT03290131', 'NCT03709290', 'NCT02674217', 'NCT04252053', 'NCT02659956', 'NCT01195870', 'NCT04201470', 'NCT04175418', 'NCT03087136', 'NCT03804047', 'NCT00781872', 'NCT03508284', 'NCT00674934', 'NCT01758224', 'NCT00414453', 'NCT03122652', 'NCT03659981', 'NCT01507636', 'NCT03756142', 'NCT00040482', 'NCT03974997', 'NCT04286828', 'NCT02403947', 'NCT01465087', 'NCT03262870', 'NCT04183751', 'NCT04524039', 'NCT02408367', 'NCT03458169', 'NCT03646929', 'NCT04004026', 'NCT02939859', 'NCT03655093', 'NCT03193086', 'NCT01201707', 'NCT00457730', 'NCT00321568', 'NCT04025554', 'NCT03052595', 'NCT03500289', 'NCT03001284', 'NCT04242056', 'NCT03735823', 'NCT03369470', 'NCT04369092', 'NCT03266965', 'NCT03356366', 'NCT02488343', 'NCT01384825', 'NCT03691077', 'NCT03807973', 'NCT03693118', 'NCT03806387', 'NCT01106365', 'NCT03255460', 'NCT02848976', 'NCT03692975', 'NCT01865357', 'NCT03396822', 'NCT04356339']",have_had,129.0
multiple sclerosis,C0026769,natalizumab,['C1172734'],0.8396690800000001,pharmacologic substance,"['NCT00273364', 'NCT00276172', 'NCT00464074', 'NCT00477113', 'NCT00483847', 'NCT00516893', 'NCT00536120', 'NCT00605215', 'NCT00744679', 'NCT00752778', 'NCT00942214', 'NCT01065727', 'NCT01070719', 'NCT01070823', 'NCT01071512', 'NCT01074619', 'NCT01085318', 'NCT01212094', 'NCT01250678', 'NCT01330498', 'NCT01416155', 'NCT01440101', 'NCT01455220', 'NCT01592097', 'NCT01626248', 'NCT01679041', 'NCT01710228', 'NCT01730547', 'NCT01745783', 'NCT01847287', 'NCT01854957', 'NCT01888354', 'NCT01930708', 'NCT01970410', 'NCT01981161', 'NCT02004444', 'NCT02137109', 'NCT02142764', 'NCT02239393', 'NCT02282878', 'NCT02386566', 'NCT02403947', 'NCT02440126', 'NCT02588053', 'NCT02769689', 'NCT02775110', 'NCT02846558', 'NCT02965170', 'NCT03046251', 'NCT03073603', 'NCT03109288', 'NCT03135249', 'NCT03222973', 'NCT03290131', 'NCT03319732', 'NCT03477500', 'NCT03516526', 'NCT03656055', 'NCT03691077', 'NCT03784547', 'NCT03853746', 'NCT04048577', 'NCT04053374', 'NCT04062331', 'NCT04178005']",looking_for,65.0
multiple sclerosis,C0026769,spasticity,['C0026838'],0.82585162,sign or symptom,"['NCT00047580', 'NCT00053417', 'NCT00139789', 'NCT00202423', 'NCT00248378', 'NCT00260741', 'NCT00464958', 'NCT00488839', 'NCT00638027', 'NCT00681538', 'NCT00682929', 'NCT00702468', 'NCT00710645', 'NCT00711646', 'NCT00776048', 'NCT00811902', 'NCT00914290', 'NCT01081275', 'NCT01106365', 'NCT01359566', 'NCT01435694', 'NCT01538225', 'NCT01547234', 'NCT01599234', 'NCT01610687', 'NCT01610700', 'NCT01610713', 'NCT01698086', 'NCT01743651', 'NCT01837017', 'NCT01844232', 'NCT01868048', 'NCT01964547', 'NCT01968902', 'NCT02011204', 'NCT02073474', 'NCT02170779', 'NCT02184494', 'NCT02504840', 'NCT02628834', 'NCT02737904', 'NCT02747914', 'NCT02848898', 'NCT02869425', 'NCT02898974', 'NCT02947906', 'NCT02960984', 'NCT03005119', 'NCT03151941', 'NCT03166930', 'NCT03172741', 'NCT03290131', 'NCT03319732', 'NCT03360487', 'NCT03369470', 'NCT03436927', 'NCT03548974', 'NCT03585569', 'NCT03603691', 'NCT03706131', 'NCT03860675', 'NCT03999788', 'NCT04004026', 'NCT04090996', 'NCT04192786', 'NCT04201691', 'NCT04203498', 'NCT04265092', 'NCT04292717', 'NCT04403594', 'NCT04486209', 'NCT04530955']",have_had,72.0
multiple sclerosis,C0026769,cancer,['C0006826'],0.7846318019999999,neoplastic process,"['NCT00014755', 'NCT00017628', 'NCT00039988', 'NCT00040482', 'NCT00376506', 'NCT00477113', 'NCT00483847', 'NCT00501943', 'NCT00856518', 'NCT01206023', 'NCT01212094', 'NCT01453764', 'NCT01465087', 'NCT01679041', 'NCT02004444', 'NCT02047097', 'NCT02710214', 'NCT02777060', 'NCT02858778', 'NCT03092544', 'NCT03456206', 'NCT03656627', 'NCT03816345', 'NCT04175418', 'NCT04237337', 'NCT04306939', 'NCT04390126', 'NCT04459988', 'NCT04472975', 'NCT04483609']",have_had,30.0
